_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
85,85,EY14384,76,WILEY AVE,SAMMON AVE,MORTIMER AVE,,0,10,,14,Acer platanoides,"Maple, Norway",75,"{""type"": ""Point"", ""coordinates"": [-79.3379437371646, 43.686806997923]}"
124,124,EY17080,60,HILLSIDE DR EAST YORK,,GAMBLE AVE,,0,10,,14,Abies,Fir,0,"{""type"": ""Point"", ""coordinates"": [-79.3564386464949, 43.6886049512998]}"
273,274,EY10236,81,DENVALE RD,EDEN PARK RD,DORIS DR,,0,20,,19,Picea glauca,"Spruce, white",50,"{""type"": ""Point"", ""coordinates"": [-79.3174232824456, 43.7080136684945]}"
363,364,EY8522,56,AMSTERDAM AVE,WESTVIEW BLVD,GLENBURN AVE,,0,10,,19,Acer platanoides,"Maple, Norway",75,"{""type"": ""Point"", ""coordinates"": [-79.3015810079454, 43.7146375159281]}"
377,378,EY2660,452,BROADWAY AVE,WINSLOE AVE,HANNA RD,,0,10,,15,Acer platanoides,"Maple, Norway",75,"{""type"": ""Point"", ""coordinates"": [-79.373358278275, 43.7150676276385]}"
557,558,EY4647,29,BRENDAN RD,BURNHAM RD,MOORE AVE,,0,20,,15,Malus sargentii,"Apple, Sargents",21,"{""type"": ""Point"", ""coordinates"": [-79.3783849724147, 43.6952681598293]}"
592,593,EY8555,63,HOLLAND AVE,GLENBURN AVE,VICTORIA PARK AVE,,0,10,,19,Acer saccharum,"Maple, sugar",44,"{""type"": ""Point"", ""coordinates"": [-79.2994686795803, 43.7157120901396]}"
865,866,EY21923,193,COLERIDGE AVE,SAMMON AVE,LUMSDEN AVE,,0,10,,19,Acer platanoides,"Maple, Norway",77,"{""type"": ""Point"", ""coordinates"": [-79.3146042245382, 43.692480284247]}"
893,894,EY18912,88,NEALON AVE,JACKMAN AVE,ARUNDEL AVE,,0,110,,14,Picea abies,"Spruce, Norway",19,"{""type"": ""Point"", ""coordinates"": [-79.3532569631106, 43.6838880087792]}"
1005,1006,EY19931,877,COXWELL AVE,MEMORIAL PARK AVE,COSBURN AVE,,0,10,,19,Acer platanoides,"Maple, Norway",53,"{""type"": ""Point"", ""coordinates"": [-79.3273270577664, 43.6929059085982]}"
1035,1036,EY2667,2,TANAGER AVE,BROADWAY AVE,GLENVALE BLVD,A,0,30,,15,Betula papyrifera,"Birch, white",30,"{""type"": ""Point"", ""coordinates"": [-79.3721353699276, 43.7151094182244]}"
1273,1274,EY15471,17,DENTON AVE,BRYANT AVE,VICTORIA PARK AVE,,0,20,,19,Tilia,Linden,70,"{""type"": ""Point"", ""coordinates"": [-79.2891905040362, 43.6926432793747]}"
1339,1340,EY25143,3,AIRDRIE RD,"BAYVIEW AVE TO, EY, NY",HEATHER RD EAST YORK,,0,10,,15,Acer platanoides,"Maple, Norway",24,"{""type"": ""Point"", ""coordinates"": [-79.3722883863194, 43.6994746978406]}"
1380,1381,EY21230,3,FOUR OAKS GT,DUSTAN CRES,AIRLEY CRES,,0,40,,14,Juniperus,Juniper,10,"{""type"": ""Point"", ""coordinates"": [-79.3392989130713, 43.6968573257713]}"
1486,1487,EY19281,188,SPRINGDALE BLVD,COXWELL AVE,WOODINGTON AVE,,0,10,,19,Thuja occidentalis,"Cedar, white",0,"{""type"": ""Point"", ""coordinates"": [-79.3240743441105, 43.6877727483546]}"
1544,1545,EY22693,35,GLEDHILL AVE,LN N DANFORTH E GLEDHILL,KING EDWARD AVE,,0,10,,19,Acer platanoides,"Maple, Norway",22,"{""type"": ""Point"", ""coordinates"": [-79.3090446739607, 43.6880478592116]}"
1701,1702,EY25086,145,AIRDRIE RD,HANNA RD,MILLWOOD RD,,0,10,,15,Acer platanoides,"Maple, Norway",27,"{""type"": ""Point"", ""coordinates"": [-79.365660040707, 43.703281509228]}"
1860,1861,EY23571,393,MAIN ST,LN 2 N DANFORTH E MAIN ST,DONCASTER AVE,,0,10,,19,Syringa reticulata,"Lilac, Japanese",25,"{""type"": ""Point"", ""coordinates"": [-79.3029552801873, 43.6912415180945]}"
1904,1905,EY21286,64,FOUR OAKS GT,AIRLEY CRES,O'CONNOR DR,,0,10,,14,ginkgo biloba,Ginkgo,47,"{""type"": ""Point"", ""coordinates"": [-79.3362466866118, 43.6976774667283]}"
2056,2057,EY15809,23,CRESTLAND AVE,MORTIMER AVE,BARKER AVE EAST YORK,,0,10,,19,Acer platanoides,"Maple, Norway",76,"{""type"": ""Point"", ""coordinates"": [-79.3248003455165, 43.6920280833082]}"
2207,2208,EY16873,1333,PAPE AVE,MINTON PL,PEPLER AVE,,0,10,,14,Malus,Apple,25,"{""type"": ""Point"", ""coordinates"": [-79.3504014551342, 43.6956860616501]}"
2251,2252,EY25053,251,AIRDRIE RD,HEATH RD,STICKNEY AVE,,0,10,,15,Acer platanoides,"Maple, Norway",73,"{""type"": ""Point"", ""coordinates"": [-79.3658897134624, 43.7067996747292]}"
