_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
9,9,YO23210,17,ASTORIA AVE,ELHURST CRT,BAYLISS AVE,None,0,10,None,05,Acer platanoides 'columnare',"Maple, Norway columnar",20,"{""type"": ""Point"", ""coordinates"": [-79.4910553326925, 43.684357823932]}"
36,36,YO9254,629,NORTHCLIFFE BLVD,KEYWEST AVE,VAUGHAN RD,None,0,20,None,12,Prunus persica,Peach,5,"{""type"": ""Point"", ""coordinates"": [-79.4469962836757, 43.6942150182945]}"
68,68,YO7143,50,PASADENA GDNS,SIDFORD CRT,SUN VALLEY DR,None,0,20,None,04,Juniperus,Juniper,3,"{""type"": ""Point"", ""coordinates"": [-79.4982979987764, 43.6601960529873]}"
107,107,YO17933,82,CLOVELLY AVE,LN W OAKWOOD S CLOVELLY,GLENHOLME AVE,None,0,10,None,12,Picea abies,"Spruce, Norway",54,"{""type"": ""Point"", ""coordinates"": [-79.4425554596103, 43.6948909491284]}"
218,218,YO9224,61,EVERSFIELD RD,BOON AVE,EARLSCOURT AVE,None,0,20,None,09,Morus,Mulberry,10,"{""type"": ""Point"", ""coordinates"": [-79.4507828835979, 43.6862400039996]}"
229,229,YO2258,22,WARREN CRES,BRALORNE CRES,LUNDY AVE,None,0,10,None,04,Malus,Apple,31,"{""type"": ""Point"", ""coordinates"": [-79.501002071281, 43.6620777652894]}"
417,417,YO19900,69,CORBETT AVE,MOULD AVE,JANE ST,None,0,10,None,05,Thuja occidentalis,"Cedar, white",3,"{""type"": ""Point"", ""coordinates"": [-79.4901715135251, 43.6707850685192]}"
625,625,YO8551,9,BATAVIA AVE,ST CLAIR AVE W,PRITCHARD AVE,None,0,20,None,05,Abies,Fir,5,"{""type"": ""Point"", ""coordinates"": [-79.4884079173149, 43.6686530011069]}"
635,635,YO29084,11,HURSTING AVE,LN W ATLAS S HURSTING,WINONA DR,None,0,10,None,12,Prunus '(section cherries)',Cherry,39,"{""type"": ""Point"", ""coordinates"": [-79.4331000877487, 43.6849773299722]}"
660,660,YO29273,61,GLEN CEDAR RD,WARWICK AVE,AVENAL DR,None,0,40,None,12,Acer platanoides 'Crimson King',"Maple, Norway 'Crimson King'",42,"{""type"": ""Point"", ""coordinates"": [-79.4287961623979, 43.6960607371035]}"
868,868,YO3308,44,NORVAL ST,HENRIETTA ST,None,None,0,10,None,05,Betula,Birch,8,"{""type"": ""Point"", ""coordinates"": [-79.4842786446012, 43.6719090809081]}"
895,895,YO20927,53,SKYLARK RD,ALTHEA RD,GOOCH AVE,None,0,10,None,04,Tilia cordata,"Linden, littleleaf",60,"{""type"": ""Point"", ""coordinates"": [-79.4976458709823, 43.6636926221201]}"
1000,1000,YO15048,90,KERSDALE AVE,WATT AVE,SCOTT RD,None,0,10,None,05,Morus,Mulberry,15,"{""type"": ""Point"", ""coordinates"": [-79.4685504615925, 43.6833444858879]}"
1018,1018,YO3119,380,VAUGHAN RD,RUSHTON RD,ARLINGTON AVE,None,0,20,None,12,Acer saccharum 'Legacy',"Maple, sugar 'Legacy'",30,"{""type"": ""Point"", ""coordinates"": [-79.4308578875455, 43.6887361461764]}"
1040,1040,YO12456,69,CYNTHIA RD,FRIMETTE CRES,FRIMETTE CRES,None,0,10,None,05,Catalpa speciosa,"Catalpa, northern",27,"{""type"": ""Point"", ""coordinates"": [-79.5038803109089, 43.6785602278347]}"
1156,1156,YO27596,147,HUMBERCREST BLVD,ST JOHN'S RD,LN E HUMBERCREST N ST JOHNS,None,0,40,None,04,Syringa reticulata,"Lilac, Japanese",33,"{""type"": ""Point"", ""coordinates"": [-79.4929783114618, 43.6613174175806]}"
1185,1185,YO18714,64,EDINBOROUGH CRT,SCARLETT RD,SCARLETT RD,None,0,10,None,05,Tilia,Linden,64,"{""type"": ""Point"", ""coordinates"": [-79.5000867081426, 43.6722473966749]}"
1235,1235,YO4828,564,MCROBERTS AVE,KITCHENER AVE,KEITH AVE,None,0,10,None,09,Picea,Spruce,,"{""type"": ""Point"", ""coordinates"": [-79.4601585856115, 43.6907132163081]}"
1241,1241,YO11496,11,GREENACRES RD,YORE RD,IRVING RD,None,0,10,None,05,Picea,Spruce,,"{""type"": ""Point"", ""coordinates"": [-79.4754818047141, 43.6925122444749]}"
1255,1255,YO12673,135,ENNERDALE RD,DYNEVOR RD,HARLOW AVE,None,0,20,None,09,Thuja,Cedar,5,"{""type"": ""Point"", ""coordinates"": [-79.4518115528482, 43.6915095874439]}"
1315,1315,YO10549,26,CHILTERN HILL RD,CROYDON RD,MARKDALE AVE,None,0,20,None,12,Acer platanoides,"Maple, Norway",83,"{""type"": ""Point"", ""coordinates"": [-79.426699275174, 43.6943662150159]}"
1425,1425,YO3255,5,HANLEY ST,WILLARD AVE,PRISCILLA AVE,None,0,10,None,04,Quercus palustris,"Oak, pin",161,"{""type"": ""Point"", ""coordinates"": [-79.4866697939419, 43.6605688982815]}"
1576,1576,YO9700,48,GREENBROOK DR,KEELE ST,TRETHEWEY DR,None,0,10,None,05,Fraxinus,Ash,5,"{""type"": ""Point"", ""coordinates"": [-79.4807345454944, 43.6962824693472]}"
1577,1577,YO3106,379,VAUGHAN RD,RUSHTON RD,ARLINGTON AVE,None,0,10,None,12,Acer platanoides,"Maple, Norway",60,"{""type"": ""Point"", ""coordinates"": [-79.4308421749751, 43.688905523139]}"
1779,1779,YO9016,119,STRATHNAIRN AVE,CASTLEFIELD AVE,GLENHAVEN ST,None,0,99998,None,05,Juniperus virginiana,"Cedar, eastern red",30,"{""type"": ""Point"", ""coordinates"": [-79.4706307198537, 43.696445844593]}"
1875,1875,YO22667,37,MIRANDA AVE,BOWIE AVE,SCHELL AVE,None,0,50,None,08,Prunus '(section cherries)',Cherry,13,"{""type"": ""Point"", ""coordinates"": [-79.4558629392166, 43.6970485122348]}"
1917,1917,YO10199,148,SCHELL AVE,RONALD AVE,LITTLE BLVD,None,0,10,None,08,Prunus '(section cherries)',Cherry,13,"{""type"": ""Point"", ""coordinates"": [-79.4596431345941, 43.697305680936]}"
2016,2016,YO29356,177,LAUDER AVE,ST CLAIR AVE W,CLOVERLAWN AVE,None,0,10,None,09,Ginkgo biloba,Ginkgo,43,"{""type"": ""Point"", ""coordinates"": [-79.4399148090313, 43.6794393591883]}"
2075,2075,YO814,1,LANGMUIR GDNS,HUMBERCREST BLVD,None,None,0,50,None,04,Pinus resinosa,"Pine, red",24,"{""type"": ""Point"", ""coordinates"": [-79.4930273328658, 43.6585616494411]}"
2210,2210,YO22431,259,JOHN ST YORK,PINE ST,JANE ST,None,0,10,None,05,Fagus,Beech,53,"{""type"": ""Point"", ""coordinates"": [-79.5058415144832, 43.7062444009484]}"
